category,year,annualGrammy,awardType,name,awardFor
Record Of The Year,1962,4,Work,Henry Mancini,Moon River
Album Of The Year (Other Than Classical),1962,4,Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
Album Of The Year - Classical,1962,4,Individual,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka
Song Of The Year,1962,4,Work,Henry Mancini,Moon River
Best Instrumental Theme Or Instrumental Version Of Song,1962,4,Individual,African Waltz,African Waltz
"Best Solo Vocal Performance, Female",1962,4,Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
"Best Solo Vocal Performance, Male",1962,4,Individual,Lollipops And Roses,Lollipops And Roses
Best Jazz Performance - Soloist Or Small Group (Instrumental),1962,4,Work,André Previn,Andre Previn Plays Harold Arlen
Best Jazz Performance - Large Group (Instrumental),1962,4,Individual,West Side Story,West Side Story
Best Original Jazz Composition,1962,4,Individual,African Waltz,African Waltz
Best Performance By An Orchestra - For Dancing,1962,4,Individual,Up A Lazy River,Up A Lazy River
Best Performance By An Orchestra - For Other Than Dancing,1962,4,Work,Henry Mancini,Breakfast At Tiffany's
Best Arrangement,1962,4,Work,Henry Mancini,Moon River
Best Performance By A Vocal Group,1962,4,Individual,High Flying,High Flying
Best Performance By A Chorus,1962,4,Individual,Great Band With Great Voices,Great Band With Great Voices
Best Sound Track Album Or Recording Of Score From Motion Picture Or Television,1962,4,Work,Henry Mancini,Breakfast At Tiffany's
Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television,1962,4,Individual,West Side Story,West Side Story
Best Original Cast Show Album,1962,4,Individual,How To Succeed In Business Without Really Trying,How To Succeed In Business Without Really Trying
Best Comedy Performance,1962,4,Individual,An Evening With Mike Nichols And Elaine May,An Evening With Mike Nichols And Elaine May
Best Documentary Or Spoken Word Recording (Other Than Comedy),1962,4,Individual,Humor In Music,Humor In Music
Best Engineering Contribution - Popular Recording,1962,4,Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
Best Engineering Contribution - Novelty,1962,4,Individual,Stan Freberg Presents The United States Of America,Stan Freberg Presents The United States Of America
Best Album Cover (Other Than Classical),1962,4,Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
Best Album Cover - Classical,1962,4,Individual,Puccini: Madame Butterfly,Puccini: Madame Butterfly
Best Recording For Children,1962,4,Individual,Prokofiev: Peter And The Wolf,Prokofiev: Peter And The Wolf
Best Rock & Roll Recording,1962,4,Individual,Let's Twist Again,Let's Twist Again
Best Country & Western Recording,1962,4,Individual,Big Bad John,Big Bad John
Best Rhythm & Blues Recording,1962,4,Individual,Hit The Road Jack,Hit The Road Jack
Best Folk Recording,1962,4,Individual,Belafonte Folk Singers At Home And Abroad,Belafonte Folk Singers At Home And Abroad
Best Gospel Or Other Religious Recording,1962,4,Individual,Everytime I Feel The Spirit,Everytime I Feel The Spirit
Best New Artist Of 1961,1962,4,Individual,Peter Nero,Peter Nero
Best Classical Performance - Orchestra,1962,4,Individual,Ravel: Daphnis Et Chloe,Ravel: Daphnis Et Chloe
Best Classical Performance - Chamber Music,1962,4,Individual,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7","Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7"
Best Classical Performance - Instrumental Soloist (With Orchestra),1962,4,Individual,Bartók: Violin Concerto No. 1,Bartók: Violin Concerto No. 1
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),1962,4,Individual,Reverie For Spanish Guitar,Reverie For Spanish Guitar
Best Opera Recording,1962,4,Individual,Puccini: Madame Butterfly,Puccini: Madame Butterfly
Best Classical Performance - Choral (Other Than Opera),1962,4,Individual,Bach: B Minor Mass,Bach: B Minor Mass
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),1962,4,Individual,The Art Of The Prima Donna,The Art Of The Prima Donna
Best Contemporary Classical Composition,1962,4,Individual,Almeida: Discantus,Almeida: Discantus
Best Engineering Contribution - Classical Recording,1962,4,Individual,Ravel: Daphnis Et Chloe,Ravel: Daphnis Et Chloe
Record Of The Year,1963,5,Work,Tony Bennett,I Left My Heart In San Francisco
Album Of The Year (Other Than Classical),1963,5,Individual,The First Family,The First Family
Album Of The Year - Classical,1963,5,Work,Vladimir Horowitz,Columbia Records Presents Vladimir Horowitz
Song Of The Year,1963,5,Individual,What Kind Of Fool Am I,What Kind Of Fool Am I
Best Instrumental Theme,1963,5,Individual,A Taste Of Honey,A Taste Of Honey
"Best Solo Vocal Performance, Female",1963,5,Work,Ella Fitzgerald,Ella Swings Brightly With Nelson Riddle
"Best Solo Vocal Performance, Male",1963,5,Work,Tony Bennett,I Left My Heart In San Francisco
Best Jazz Performance - Soloist Or Small Group (Instrumental),1963,5,Individual,Desafinado,Desafinado
Best Jazz Performance - Large Group (Instrumental),1963,5,Individual,Adventures In Jazz,Adventures In Jazz
Best Original Jazz Composition,1963,5,Individual,Cast Your Fate To The Wind,Cast Your Fate To The Wind
Best Performance By An Orchestra - For Dancing,1963,5,Individual,Fly Me To The Moon Bossa Nova,Fly Me To The Moon Bossa Nova
Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,1963,5,Individual,The Colorful Peter Nero,The Colorful Peter Nero
Best Instrumental Arrangement,1963,5,Work,Henry Mancini,Baby Elephant Walk
Best Background Arrangement,1963,5,Individual,I Left My Heart In San Francisco,I Left My Heart In San Francisco
Best Performance By A Vocal Group,1963,5,Individual,If I Had A Hammer,If I Had A Hammer
