category,year,annualGrammy,awardType,name,awardFor
Best Cast Show Album,1979,21,Individual,Ain't Misbehavin',Ain't Misbehavin'
Best Jazz Vocal Performance,1979,21,Individual,All Fly Home,All Fly Home
"Best Jazz Instrumental Performance, Soloist",1979,21,Individual,Montreaux '77 - Oscar Peterson Jam,Montreaux '77 - Oscar Peterson Jam
"Best Jazz Instrumental Performance, Group",1979,21,Work,Chick Corea,Friends
"Best Jazz Instrumental Performance, Big Band",1979,21,Individual,Live In Munich,Live In Munich
Best Instrumental Arrangement,1979,21,Individual,The Wiz Main Title - Overture Part One,The Wiz Main Title - Overture Part One
Best Arrangement Accompanying Vocal(s),1979,21,Individual,Got To Get You Into My Life,Got To Get You Into My Life
Best Arrangement For Voices,1979,21,Individual,Stayin' Alive,Stayin' Alive
Best Album Package,1979,21,Individual,Boys In The Trees,Boys In The Trees
Best Album Notes,1979,21,Individual,"A Bing Crosby Collection, Vols. I & II","A Bing Crosby Collection, Vols. I & II"
Best Historical Repackage Album,1979,21,Individual,"The Lester Young Story, Vol. 3","The Lester Young Story, Vol. 3"
Best Engineered Recording - Non-Classical,1979,21,Individual,FM (No Static At All),FM (No Static At All)
Producer Of The Year,1979,21,Individual,"Bee Gees, Albhy Galuten & Karl Richardson","Bee Gees, Albhy Galuten & Karl Richardson"
Best Classical Album,1979,21,Individual,Brahms: Concerto For Violin In D,Brahms: Concerto For Violin In D
Best Classical Orchestral Performance,1979,21,Individual,Beethoven: Symphonies (9) (Complete),Beethoven: Symphonies (9) (Complete)
Best Opera Recording,1979,21,Individual,Lehar: The Merry Widow,Lehar: The Merry Widow
"Best Choral Performance, Classical (Other Than Opera)",1979,21,Work,Georg Solti,Beethoven: Missa Solemnis
Best Chamber Music Performance,1979,21,Individual,Beethoven: Sonatas For Violin And Piano,Beethoven: Sonatas For Violin And Piano
"Best Classical Performance, Instrumental Soloist(s) (With Orchestra)",1979,21,Work,Vladimir Horowitz,Rachmaninoff: Con. No. 3 In D Minor For Piano (Horowitz Golden Jubilee)
"Best Classical Performance, Instrumental Soloist(s) (Without Orchestra)",1979,21,Work,Vladimir Horowitz,The Horowitz Concerts 1977/78
Best Classical Vocal Soloist Performance,1979,21,Individual,Luciano Pavarotti - Hits From Lincoln Center,Luciano Pavarotti - Hits From Lincoln Center
"Best Engineered Recording, Classical",1979,21,Individual,Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese),Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese)
Record Of The Year,1980,22,Individual,What A Fool Believes,What A Fool Believes
Album Of The Year,1980,22,Individual,52nd Street,52nd Street
Song Of The Year,1980,22,Individual,What A Fool Believes,What A Fool Believes
Best New Artist,1980,22,Individual,Rickie Lee Jones,Rickie Lee Jones
"Best Pop Vocal Performance, Female",1980,22,Individual,I'll Never Love This Way Again,I'll Never Love This Way Again
"Best Pop Vocal Performance, Male",1980,22,Individual,52nd Street,52nd Street
"Best Pop Vocal Performance By A Duo, Group Or Chorus",1980,22,Individual,Minute By Minute,Minute By Minute
Best Pop Instrumental Performance,1980,22,Individual,Rise,Rise
"Best Rock Vocal Performance, Female",1980,22,Individual,Hot Stuff,Hot Stuff
"Best Rock Vocal Performance, Male",1980,22,Work,Bob Dylan,Gotta Serve Somebody
Best Rock Vocal Performance By A Duo Or Group,1980,22,Work,Eagles,Heartache Tonight
Best Rock Instrumental Performance,1980,22,Work,Paul McCartney,Rockestra Theme
"Best R&B Vocal Performance, Female",1980,22,Individual,Deja Vu,Deja Vu
"Best R&B Vocal Performance, Male",1980,22,Work,Michael Jackson,Don't Stop 'til You Get Enough
"Best R&B Vocal Performance By A Duo, Group Or Chorus",1980,22,Individual,After The Love Has Gone,After The Love Has Gone
Best R&B Instrumental Performance,1980,22,Individual,Boogie Wonderland,Boogie Wonderland
Best Rhythm & Blues Song,1980,22,Individual,After The Love Has Gone,After The Love Has Gone
Best Disco Recording,1980,22,Individual,I Will Survive,I Will Survive
"Best Country Vocal Performance, Female",1980,22,Work,Emmylou Harris,Blue Kentucky Girl
"Best Country Vocal Performance, Male",1980,22,Individual,The Gambler,The Gambler
Best Country Vocal Performance By A Duo Or Group,1980,22,Individual,The Devil Went Down To Georgia,The Devil Went Down To Georgia
Best Country Instrumental Performance,1980,22,Individual,Big Sandy/Leather Britches,Big Sandy/Leather Britches
Best Country Song,1980,22,Individual,You Decorated My Life,You Decorated My Life
"Best Gospel Performance, Contemporary Or Inspirational",1980,22,Individual,Heed The Call,Heed The Call
"Best Gospel Performance, Traditional",1980,22,Individual,Lift Up The Name Of Jesus,Lift Up The Name Of Jesus
"Best Soul Gospel Performance, Contemporary",1980,22,Individual,I'll Be Thinking Of You,I'll Be Thinking Of You
"Best Soul Gospel Performance, Traditional",1980,22,Individual,Changing Times,Changing Times
Best Inspirational Performance,1980,22,Individual,You Gave Me Love (When Nobody Gave Me A Prayer),You Gave Me Love (When Nobody Gave Me A Prayer)
Best Ethnic Or Traditional Recording,1980,22,Individual,"Muddy ""Mississippi"" Waters Live","Muddy ""Mississippi"" Waters Live"
Best Latin Recording,1980,22,Individual,Irakere,Irakere
Best Recording For Children,1980,22,Individual,The Muppet Movie,The Muppet Movie
Best Comedy Recording,1980,22,Individual,Reality...What A Concept,Reality...What A Concept
"Best Spoken Word, Documentary Or Drama Recording",1980,22,Individual,Ages Of Man - Readings From Shakespeare,Ages Of Man - Readings From Shakespeare
Best Instrumental Composition,1980,22,Work,John Williams,Superman Main Title Theme
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1980,22,Work,John Williams,Superman
Best Cast Show Album,1980,22,Individual,Sweeney Todd,Sweeney Todd
"Best Jazz Fusion Performance, Vocal Or Instrumental",1980,22,Individual,8:30,8:30
Best Jazz Vocal Performance,1980,22,Work,Ella Fitzgerald,Fine And Mellow
"Best Jazz Instrumental Performance, Soloist",1980,22,Individual,Jousts,Jousts
"Best Jazz Instrumental Performance, Group",1980,22,Work,Chick Corea,Duet
"Best Jazz Instrumental Performance, Big Band",1980,22,Work,Duke Ellington,"Duke Ellington At Fargo, 1940 Live"
Best Instrumental Arrangement,1980,22,Individual,Soulful Strut,Soulful Strut
Best Arrangement Accompanying Vocals,1980,22,Individual,What A Fool Believes,What A Fool Believes
Best Album Package,1980,22,Individual,Breakfast In America,Breakfast In America
Best Album Notes,1980,22,Individual,Charlie Parker - The Complete Savoy Sessions,Charlie Parker - The Complete Savoy Sessions
Best Historical Reissue,1980,22,Individual,Billie Holiday - Giants Of Jazz,Billie Holiday - Giants Of Jazz
Best Engineered Recording - Non-Classical,1980,22,Individual,Breakfast In America,Breakfast In America
Producer Of The Year,1980,22,Individual,Larry Butler,Larry Butler
Best Classical Album,1980,22,Work,Georg Solti,Brahms: Symphonies (1-4)
Best Classical Orchestral Recording,1980,22,Work,Georg Solti,Brahms: Symphonies (1-4)
Best Opera Recording,1980,22,Individual,Britten: Peter Grimes,Britten: Peter Grimes
"Best Choral Performance, Classical (Other Than Opera)",1980,22,Work,Georg Solti,Brahms: A German Requiem
Best Chamber Music Performance,1980,22,Individual,Copland: Appalachian Spring,Copland: Appalachian Spring
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1980,22,Individual,Bartók: Piano Cons. Nos. 1 & 2,Bartók: Piano Cons. Nos. 1 & 2
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1980,22,Work,Vladimir Horowitz,The Horowitz Concerts 1978/79
Best Classical Vocal Soloist Performance,1980,22,Individual,O Sole Mio - Favorite Neapolitan Songs,O Sole Mio - Favorite Neapolitan Songs
"Best Engineered Recording, Classical",1980,22,Individual,Sondheim: Sweeney Todd,Sondheim: Sweeney Todd
Classical Producer Of The Year,1980,22,Individual,James Mallinson,James Mallinson
Record Of The Year,1982,24,Individual,Bette Davis Eyes,Bette Davis Eyes
Album Of The Year,1982,24,Work,John Lennon,Double Fantasy
Song Of The Year,1982,24,Individual,Bette Davis Eyes,Bette Davis Eyes
Best New Artist,1982,24,Individual,Sheena Easton,Sheena Easton
"Best Pop Vocal Performance, Female",1982,24,Individual,"Lena Horne - The Lady And Her Music, Live On Broadway","Lena Horne - The Lady And Her Music, Live On Broadway"
"Best Pop Vocal Performance, Male",1982,24,Individual,Breakin' Away,Breakin' Away
Best Pop Vocal Performance By A Duo Or Group With Vocal,1982,24,Individual,Boy From New York City,Boy From New York City
Best Pop Instrumental Performance,1982,24,Individual,The Theme From Hill Street Blues,The Theme From Hill Street Blues
"Best Rock Vocal Performance, Female",1982,24,Individual,Fire And Ice,Fire And Ice
"Best Rock Vocal Performance, Male",1982,24,Individual,Jessie's Girl,Jessie's Girl
Best Rock Performance By A Duo Or Group With Vocal,1982,24,Individual,Don't Stand So Close To Me,Don't Stand So Close To Me
Best Rock Instrumental Performance,1982,24,Individual,Behind My Camel,Behind My Camel
"Best R&B Vocal Performance, Female",1982,24,Work,Aretha Franklin,Hold On I'm Comin'
"Best R&B Vocal Performance, Male",1982,24,Individual,One Hundred Ways,One Hundred Ways
Best R&B Performance By A Duo Or Group With Vocal,1982,24,Work,Quincy Jones,The Dude
Best R&B Instrumental Performance,1982,24,Individual,All I Need Is You,All I Need Is You
Best Rhythm & Blues Song,1982,24,Individual,Just The Two Of Us,Just The Two Of Us
"Best Jazz Fusion Performance, Vocal Or Instrumental",1982,24,Individual,Winelight,Winelight
"Best Country Vocal Performance, Female",1982,24,Individual,9 To 5,9 To 5
"Best Country Vocal Performance, Male",1982,24,Individual,(There's) No Gettin' Over Me,(There's) No Gettin' Over Me
Best Country Performance By A Duo Or Group With Vocal,1982,24,Individual,Elvira,Elvira
Best Country Instrumental Performance,1982,24,Individual,Country After All These Years,Country After All These Years
Best Country Song,1982,24,Individual,9 To 5,9 To 5
Best Gospel Performance Contemporary Or Inspirational,1982,24,Individual,Priority,Priority
"Best Gospel Performance, Traditional",1982,24,Individual,The Masters V,The Masters V
"Best Soul Gospel Performance, Contemporary",1982,24,Individual,Don't Give Up,Don't Give Up
"Best Soul Gospel Performance, Traditional",1982,24,Individual,The Lord Will Make A Way,The Lord Will Make A Way
Best Inspirational Performance,1982,24,Individual,Amazing Grace,Amazing Grace
Best Ethnic Or Traditional Recording,1982,24,Work,B.B. King,There Must Be A Better World Somewhere
Best Latin Recording,1982,24,Individual,Guajira Pa La Jeva,Guajira Pa La Jeva
Best Recording For Children,1982,24,Individual,Sesame Country,Sesame Country
Best Comedy Recording,1982,24,Individual,Rev. Du Rite,Rev. Du Rite
"Best Spoken Word, Documentary Or Drama Recording",1982,24,Individual,Donovan's Brain,Donovan's Brain
Best Instrumental Composition,1982,24,Individual,The Theme From Hill Street Blues,The Theme From Hill Street Blues
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1982,24,Work,John Williams,Raiders Of The Lost Ark
Best Cast Show Album,1982,24,Individual,"Lena Horne - The Lady And Her Music, Live On Broadway","Lena Horne - The Lady And Her Music, Live On Broadway"
Video Of The Year,1982,24,Individual,Michael Nesmith In Elephant Parts,Michael Nesmith In Elephant Parts
"Best Jazz Vocal Performance, Female",1982,24,Work,Ella Fitzgerald,Digital III At Montreaux
"Best Jazz Vocal Performance, Male",1982,24,Individual,Blue Rondo A La Turk,Blue Rondo A La Turk
"Best Jazz Vocal Performance, Duo Or Group",1982,24,Individual,Until I Met You (Corner Pocket),Until I Met You (Corner Pocket)
"Best Jazz Instrumental Performance, Soloist",1982,24,Individual,Bye Bye Blackbird,Bye Bye Blackbird
"Best Jazz Instrumental Performance, Group",1982,24,Work,Chick Corea,"Chick Corea & Gary Burton In Concert - Zurich, October 28, 1979"
"Best Jazz Instrumental Performance, Big Band",1982,24,Individual,Walk On The Water,Walk On The Water
Best Arrangement On An Instrumental Recording,1982,24,Work,Quincy Jones,Velas
Best Instrumental Arrangement Accompanying Vocal(s),1982,24,Work,Quincy Jones,Ai No Corrida
Best Vocal Arrangement For Two Or More Voices,1982,24,Individual,A Nightingale Sang In Berkeley Square,A Nightingale Sang In Berkeley Square
Best Album Package,1982,24,Individual,Tattoo You,Tattoo You
Best Album Notes,1982,24,Individual,Erroll Garner - Master Of The Keyboard,Erroll Garner - Master Of The Keyboard
Best Historical Album,1982,24,Individual,Hoagy Carmichael - From Stardust To Ole Buttermilk Sky,Hoagy Carmichael - From Stardust To Ole Buttermilk Sky
Best Engineered Recording - Non-Classical,1982,24,Individual,Gaucho,Gaucho
Producer Of The Year,1982,24,Work,Quincy Jones,Quincy Jones
Best Classical Album,1982,24,Work,Georg Solti,Mahler: Symphony No. 2 In C Minor
Best Classical Orchestral Recording,1982,24,Work,Georg Solti,Mahler: Symphony No. 2 In C Minor
Best Opera Recording,1982,24,Individual,Janácek: From The House Of The Dead,Janácek: From The House Of The Dead
Best Choral Performance (Other Than Opera),1982,24,Individual,Haydn: The Creation,Haydn: The Creation
Best Chamber Music Performance,1982,24,Individual,Tchaikovsky: Piano Trio In A Minor,Tchaikovsky: Piano Trio In A Minor
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1982,24,Individual,Isaac Stern 60th Anniversary Celebration,Isaac Stern 60th Anniversary Celebration
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1982,24,Work,Vladimir Horowitz,The Horowitz Concerts 1979/80
Best Classical Vocal Soloist Performance,1982,24,Individual,Live From Lincoln Center - Sutherland/Horne/Pavarotti,Live From Lincoln Center - Sutherland/Horne/Pavarotti
"Best Engineered Recording, Classical",1982,24,Individual,Isaac Stern 60th Anniversary Celebration,Isaac Stern 60th Anniversary Celebration
Classical Producer Of The Year,1982,24,Individual,James Mallinson,James Mallinson
Record Of The Year,1983,25,Individual,Rosanna,Rosanna
Album Of The Year,1983,25,Individual,Toto IV,Toto IV
Song Of The Year,1983,25,Individual,Always On My Mind,Always On My Mind
Best New Artist,1983,25,Individual,Men At Work,Men At Work
"Best Pop Vocal Performance, Female",1983,25,Individual,You Should Hear How She Talks About You,You Should Hear How She Talks About You
"Best Pop Vocal Performance, Male",1983,25,Work,Lionel Richie,Truly
Best Pop Performance By A Duo Or Group With Vocal,1983,25,Individual,Up Where We Belong,Up Where We Belong
Best Pop Instrumental Performance,1983,25,Individual,Chariots Of Fire Theme (Dance Version),Chariots Of Fire Theme (Dance Version)
"Best Rock Vocal Performance, Female",1983,25,Individual,Shadows Of The Night,Shadows Of The Night
"Best Rock Vocal Performance, Male",1983,25,Individual,Hurts So Good,Hurts So Good
Best Rock Performance By A Duo Or Group With Vocal,1983,25,Individual,Eye Of The Tiger,Eye Of The Tiger
Best Rock Instrumental Performance,1983,25,Individual,D.N.A.,D.N.A.
"Best R&B Vocal Performance, Female",1983,25,Individual,And I Am Telling You I'm Not Going,And I Am Telling You I'm Not Going
"Best R&B Vocal Performance, Male",1983,25,Individual,Sexual Healing,Sexual Healing
Best R&B Performance By A Duo Or Group With Vocal,1983,25,Individual,Let It Whip,Let It Whip
Best R&B Instrumental Performance,1983,25,Individual,Sexual Healing (Instrumental Version),Sexual Healing (Instrumental Version)
Best Rhythm & Blues Song,1983,25,Individual,Turn Your Love Around,Turn Your Love Around
"Best Jazz Fusion Performance, Vocal Or Instrumental",1983,25,Work,Pat Metheny,Offramp
"Best Country Vocal Performance, Female",1983,25,Individual,Break It To Me Gently,Break It To Me Gently
"Best Country Vocal Performance, Male",1983,25,Work,Willie Nelson,Always On My Mind
Best Country Performance By A Duo Or Group With Vocal,1983,25,Individual,Mountain Music,Mountain Music
Best Country Instrumental Performance,1983,25,Individual,Alabama Jubilee,Alabama Jubilee
Best Country Song,1983,25,Individual,Always On My Mind,Always On My Mind
"Best Gospel Performance, Contemporary",1983,25,Individual,Age To Age,Age To Age
"Best Gospel Performance, Traditional",1983,25,Individual,I'm Following You,I'm Following You
"Best Soul Gospel Performance, Contemporary",1983,25,Individual,Higher Plane,Higher Plane
"Best Soul Gospel Performance, Traditional",1983,25,Individual,Precious Lord,Precious Lord
Best Inspirational Performance,1983,25,Individual,He Set My Life To Music,He Set My Life To Music
Best Traditional Blues Recording,1983,25,Individual,Alright Again,Alright Again
Best Ethnic Or Traditional Folk Recording,1983,25,Individual,Queen Ida & The Bon Temps Zydeco Band On Tour,Queen Ida & The Bon Temps Zydeco Band On Tour
Best Latin Recording,1983,25,Individual,Machito & His Salsa Big Band '82,Machito & His Salsa Big Band '82
Best Recording For Children,1983,25,Individual,In Harmony 2,In Harmony 2
Best Comedy Recording,1983,25,Individual,Live On The Sunset Strip,Live On The Sunset Strip
"Best Spoken Word, Documentary Or Drama Recording",1983,25,Individual,Raiders Of The Lost Ark - The Movie On Record,Raiders Of The Lost Ark - The Movie On Record
Best Instrumental Composition,1983,25,Work,John Williams,Flying - Theme From E.T. The Extra-Terrestrial
Best Album Of Original Score Written For A Motion Picture Or Television Special,1983,25,Work,John Williams,E.T. The Extra-Terrestrial
Best Cast Show Album,1983,25,Individual,Dreamgirls,Dreamgirls
Video Of The Year,1983,25,Individual,Olivia Physical,Olivia Physical
"Best Jazz Vocal Performance, Female",1983,25,Individual,Gershwin Live!,Gershwin Live!
"Best Jazz Vocal Performance, Male",1983,25,Individual,An Evening With George Shearing & Mel Tormé,An Evening With George Shearing & Mel Tormé
Best Jazz Vocal Performance Duo Or Group,1983,25,Individual,Route 66,Route 66
"Best Jazz Instrumental Performance, Soloist",1983,25,Individual,We Want Miles,We Want Miles
"Best Jazz Instrumental Performance, Group",1983,25,Individual,More Live,More Live
"Best Jazz Instrumental Performance, Big Band",1983,25,Individual,Warm Breeze,Warm Breeze
Best Arrangement On An Instrumental Recording,1983,25,Work,John Williams,Flying
Best Instrumental Arrangement Accompanying Vocal(s),1983,25,Individual,Rosanna,Rosanna
Best Vocal Arrangement For Two Or More Voices,1983,25,Individual,Rosanna,Rosanna
Best Album Package,1983,25,Individual,Get Closer,Get Closer
Best Album Notes,1983,25,Individual,Bunny Berigan - Giants Of Jazz,Bunny Berigan - Giants Of Jazz
Best Historical Album,1983,25,Individual,"The Tommy Dorsey/Frank Sinatra Sessions - Vols. 1 ,2 & 3","The Tommy Dorsey/Frank Sinatra Sessions - Vols. 1 ,2 & 3"
Best Engineered Recording - Non-Classical,1983,25,Individual,Toto IV,Toto IV
Producer Of The Year,1983,25,Individual,Toto,Toto
Best Classical Album,1983,25,Individual,Bach: The Goldberg Variations,Bach: The Goldberg Variations
Best Orchestral Performance,1983,25,Individual,Mahler: Sym. No. 7 In E Min. (Song Of The Night),Mahler: Sym. No. 7 In E Min. (Song Of The Night)
Best Opera Recording,1983,25,Work,Pierre Boulez,Wagner: Der Ring Des Nibelungen
Best Choral Performance (Other Than Opera),1983,25,Work,Georg Solti,Berlioz: La Damnation De Faust
Best Chamber Music Performance,1983,25,Individual,"Brahms: The Sonatas For Clarinet & Piano, Op. 120","Brahms: The Sonatas For Clarinet & Piano, Op. 120"
"Best Classical Performance, Instrumental Soloist (With Orchestra)",1983,25,Individual,Elgar: Violin Concerto In B Minor,Elgar: Violin Concerto In B Minor
"Best Classical Performance, Instrumental Soloist (Without Orchestra)",1983,25,Individual,Bach: The Goldberg Variations,Bach: The Goldberg Variations
Best Classical Vocal Soloist Performance,1983,25,Individual,Verdi: Arias (Leontyne Price Sings Verdi),Verdi: Arias (Leontyne Price Sings Verdi)
"Best Engineered Recording, Classical",1983,25,Individual,Mahler: Symphony No. 7 In E Minor (Song Of The Night),Mahler: Symphony No. 7 In E Minor (Song Of The Night)
Classical Producer Of The Year,1983,25,Work,Robert Woods,Robert Woods
Record Of The Year,1984,26,Work,Michael Jackson,Beat It
Album Of The Year,1984,26,Work,Michael Jackson,Thriller
Song Of The Year,1984,26,Work,Sting,Every Breath You Take
Best New Artist,1984,26,Individual,Culture Club,Culture Club
"Best Pop Vocal Performance, Female",1984,26,Individual,Flashdance - What A Feeling,Flashdance - What A Feeling
"Best Pop Vocal Performance, Male",1984,26,Work,Michael Jackson,Thriller
Best Pop Performance By A Duo Or Group With Vocal,1984,26,Individual,Every Breath You Take,Every Breath You Take
Best Pop Instrumental Performance,1984,26,Individual,Being With You,Being With You
"Best Rock Vocal Performance, Female",1984,26,Individual,Love Is A Battlefield,Love Is A Battlefield
"Best Rock Vocal Performance, Male",1984,26,Work,Michael Jackson,Beat It
Best Rock Performance By A Duo Or Group With Vocal,1984,26,Individual,Synchronicity,Synchronicity
Best Rock Instrumental Performance,1984,26,Work,Sting,Brimstone And Treacle
"Best R&B Vocal Performance, Female",1984,26,Individual,Chaka Khan,Chaka Khan
"Best R&B Vocal Performance, Male",1984,26,Work,Michael Jackson,Billie Jean
Best R&B Performance By A Duo Or Group With Vocal,1984,26,Individual,Ain't Nobody,Ain't Nobody
Best R&B Instrumental Performance,1984,26,Work,Herbie Hancock,Rockit
Best Rhythm & Blues Song,1984,26,Work,Michael Jackson,Billie Jean
"Best Jazz Fusion Performance, Vocal Or Instrumental",1984,26,Individual,Travels,Travels
"Best Country Vocal Performance, Female",1984,26,Individual,A Little Good News,A Little Good News
"Best Country Vocal Performance, Male",1984,26,Individual,I.O.U.,I.O.U.
Best Country Performance By A Duo Or Group With Vocal,1984,26,Individual,The Closer You Get...,The Closer You Get...
Best Country Instrumental Performance,1984,26,Individual,Fireball,Fireball
Best New Country Song,1984,26,Individual,Stranger In My House,Stranger In My House
"Best Gospel Performance, Female",1984,26,Individual,Ageless Medley,Ageless Medley
"Best Gospel Performance, Male",1984,26,Individual,Walls Of Glass,Walls Of Glass
Best Gospel Performance By A Duo Or Group,1984,26,Individual,More Than Wonderful,More Than Wonderful
"Best Soul Gospel Performance, Female",1984,26,Individual,We Sing Praises,We Sing Praises
"Best Soul Gospel Performance, Male",1984,26,Individual,I'll Rise Again,I'll Rise Again
Best Soul Gospel Performance By A Duo Or Group,1984,26,Individual,I'm So Glad I'm Standing Here Today,I'm So Glad I'm Standing Here Today
Best Inspirational Performance,1984,26,Individual,He's A Rebel,He's A Rebel
Best Latin Pop Performance,1984,26,Individual,Me Enamore,Me Enamore
Best Tropical Latin Performance,1984,26,Individual,On Broadway,On Broadway
Best Mexican-American Performance,1984,26,Individual,Anselma,Anselma
Best Traditional Blues Recording,1984,26,Work,B.B. King,Blues 'N' Jazz
Best Ethnic Or Traditional Folk Recording,1984,26,Individual,I'm Here,I'm Here
Best Recording For Children,1984,26,Work,Michael Jackson,E.T. The Extra-Terrestrial
Best Comedy Recording,1984,26,Individual,Eddie Murphy: Comedian,Eddie Murphy: Comedian
Best Spoken Word Or Non-Musical Recording,1984,26,Individual,Copland: A Lincoln Portrait,Copland: A Lincoln Portrait
Best Instrumental Composition,1984,26,Individual,Love Theme From Flashdance,Love Theme From Flashdance
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1984,26,Individual,Flashdance,Flashdance
Best Cast Show Album,1984,26,Individual,Cats (Complete Original Broadway Cast Recording),Cats (Complete Original Broadway Cast Recording)
"Best Video, Short Form",1984,26,Individual,Girls On Film/Hungry Like The Wolf,Girls On Film/Hungry Like The Wolf
Best Video Album,1984,26,Individual,Duran Duran,Duran Duran
"Best Jazz Vocal Performance, Female",1984,26,Work,Ella Fitzgerald,The Best Is Yet To Come
"Best Jazz Vocal Performance, Male",1984,26,Individual,Top Drawer,Top Drawer
"Best Jazz Vocal Performance, Duo Or Group",1984,26,Individual,Why Not!,Why Not!
"Best Jazz Instrumental Performance, Soloist",1984,26,Individual,Think Of One,Think Of One
"Best Jazz Instrumental Performance, Group",1984,26,Individual,At The Vanguard,At The Vanguard
"Best Jazz Instrumental Performance, Big Band",1984,26,Individual,All In Good Time,All In Good Time
Best Arrangement On An Instrumental,1984,26,Individual,Summer Sketches '82,Summer Sketches '82
Best Instrumental Arrangement Accompanying Vocal(s),1984,26,Individual,What's New,What's New
Best Vocal Arrangement For Two Or More Voices,1984,26,Individual,Be Bop Medley,Be Bop Medley
Best Album Package,1984,26,Individual,Speaking In Tongues,Speaking In Tongues
Best Album Notes,1984,26,Individual,The Interplay Sessions,The Interplay Sessions
Best Historical Album,1984,26,Individual,"The Greatest Recordings Of Arturo Toscanini - Symphonies, Vol. I","The Greatest Recordings Of Arturo Toscanini - Symphonies, Vol. I"
Best Engineered Recording - Non-Classical,1984,26,Work,Michael Jackson,Thriller
Producer Of The Year (Non-Classical),1984,26,Work,Michael Jackson,Michael Jackson & Quincy Jones
Best Classical Album,1984,26,Work,Georg Solti,Mahler: Symphony No. 9 In D
Best Orchestral Recording,1984,26,Work,Georg Solti,Mahler: Symphony No. 9 In D
Best Opera Recording,1984,26,Work,Georg Solti,Mozart: Le Nozze Di Figaro
Best Choral Performance (Other Than Opera),1984,26,Work,Georg Solti,Haydn: The Creation
Best Chamber Music Performance,1984,26,Individual,"Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99","Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99"
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1984,26,Individual,Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet  Concerto In D/Hummel: Trumpet Concerto In E Flat,Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet  Concerto In D/Hummel: Trumpet Concerto In E Flat
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1984,26,Individual,Beethoven: Piano Sonatas Nos. 12 & 13,Beethoven: Piano Sonatas Nos. 12 & 13
Best Classical Vocal Soloist Performance,1984,26,Individual,Leontyne Price & Marilyn Horne In Concert At The Met,Leontyne Price & Marilyn Horne In Concert At The Met
"Best Engineered Recording, Classical",1984,26,Individual,Mahler: Symphony No. 9 In D,Mahler: Symphony No. 9 In D
Classical Producer Of The Year,1984,26,Individual,Marc Aubort & Joanna Nickrenz,Marc Aubort & Joanna Nickrenz
Record Of The Year,1985,27,Individual,What's Love Got To Do With It,What's Love Got To Do With It
Album Of The Year,1985,27,Work,Lionel Richie,Can't Slow Down
Song Of The Year,1985,27,Individual,What's Love Got To Do With It,What's Love Got To Do With It
Best New Artist,1985,27,Individual,Cyndi Lauper,Cyndi Lauper
"Best Pop Vocal Performance, Female",1985,27,Individual,What's Love Got To Do With It,What's Love Got To Do With It
"Best Pop Vocal Performance, Male",1985,27,Individual,Against All Odds (Take A Look At Me Now),Against All Odds (Take A Look At Me Now)
Best Pop Performance By A Duo Or Group With Vocal,1985,27,Individual,Jump (For My Love),Jump (For My Love)
Best Pop Instrumental Performance,1985,27,Individual,Ghostbusters (Instrumental),Ghostbusters (Instrumental)
"Best Rock Vocal Performance, Female",1985,27,Individual,Better Be Good To Me,Better Be Good To Me
"Best Rock Vocal Performance, Male",1985,27,Work,Bruce Springsteen,Dancing In The Dark
Best Rock Performance By A Duo Or Group With Vocal,1985,27,Work,Prince,Purple Rain - Music From The Motion Picture
Best Rock Instrumental Performance,1985,27,Individual,Cinema,Cinema
"Best R&B Vocal Performance, Female",1985,27,Individual,I Feel For You,I Feel For You
"Best R&B Vocal Performance, Male",1985,27,Individual,Caribbean Queen (No More Love On The Run),Caribbean Queen (No More Love On The Run)
Best R&B Performance By A Duo Or Group With Vocal,1985,27,Individual,Yah Mo B There,Yah Mo B There
Best R&B Instrumental Performance,1985,27,Work,Herbie Hancock,Sound System
Best Rhythm & Blues Song,1985,27,Work,Prince,I Feel For You
"Best Jazz Fusion Performance, Vocal Or Instrumental",1985,27,Individual,First Circle,First Circle
"Best Country Vocal Performance, Female",1985,27,Work,Emmylou Harris,In My Dreams
"Best Country Vocal Performance, Male",1985,27,Individual,That's The Way Love Goes,That's The Way Love Goes
Best Country Performance By A Duo Or Group With Vocal,1985,27,Individual,Mama He's Crazy,Mama He's Crazy
Best Country Instrumental Performance,1985,27,Individual,Wheel Hoss,Wheel Hoss
Best Country Song,1985,27,Individual,City Of New Orleans,City Of New Orleans
